Date,corn,soybean_meal,hog,crush
2000-12-29,2.6175,176.3,47.5,95107.5
2001-01-02,2.5825,176.4,47.8,96582.5
2001-01-03,2.61,175.2,47.15,94210.0
2001-01-04,2.61,173.8,48.0,97070.0
2001-01-05,2.58,171.7,48.0,97730.0
2001-01-08,2.58,172.3,48.3,98630.0
2001-01-09,2.5925,174.2,48.275,98172.5
2001-01-10,2.615,172.9,47.8,96445.0
2001-01-11,2.5625,170.0,47.875,97762.5
2001-01-12,2.5425,169.9,47.85,97992.5
2001-01-16,2.515,166.3,47.9,98925.0
2001-01-17,2.5125,165.9,48.75,101722.5
2001-01-18,2.53,166.5,48.4,100280.0
2001-01-19,2.5375,164.5,48.6,101007.5
2001-01-22,2.49,165.8,48.8,102230.0
2001-01-23,2.51,163.5,48.4,100880.0
2001-01-24,2.495,163.8,48.45,101235.0
2001-01-25,2.5,162.8,48.95,102860.0
2001-01-26,2.48,160.0,49.75,106000.0
2001-01-29,2.45,159.0,49.95,107190.0
2001-01-30,2.4525,159.9,49.975,107142.5
2001-01-31,2.46,161.1,50.425,108350.0
2001-02-01,2.4425,160.9,50.975,110392.5
2001-02-02,2.47,162.7,50.95,109720.0
2001-02-05,2.49,160.3,50.9,109500.0
2001-02-06,2.4725,161.4,50.9,109652.5
2001-02-07,2.49,160.8,50.75,108970.0
2001-02-08,2.465,158.0,50.85,109945.0
2001-02-09,2.45,157.5,50.75,109900.0
2001-02-12,2.445,156.9,50.575,109475.0
2001-02-13,2.4425,156.6,50.55,109462.5
2001-02-14,2.45,157.0,50.8,110110.0
2001-02-15,2.4775,156.5,50.65,109267.5
2001-02-16,2.465,155.8,50.875,110245.0
2001-02-20,2.4725,157.6,50.5,108752.5
2001-02-21,2.4525,156.8,50.625,109532.5
2001-02-22,2.4475,155.9,50.85,110417.5
2001-02-23,2.44,153.7,50.375,109230.0
2001-02-26,2.4375,152.7,50.0,108167.5
2001-02-27,2.455,152.8,50.0,107895.0
2001-02-28,2.4925,152.5,50.05,107522.5
2001-03-01,2.51,154.0,50.425,108310.0
2001-03-02,2.4975,153.3,50.55,108967.5
2001-03-05,2.495,154.2,51.175,110915.0
2001-03-06,2.5,157.2,51.075,110220.0
2001-03-07,2.4725,156.3,50.575,109122.5
2001-03-08,2.475,153.7,50.3,108465.0
2001-03-09,2.47,154.8,50.25,108270.0
2001-03-12,2.48,154.2,50.2,108020.0
2001-03-13,2.4725,152.1,50.9,110582.5
2001-03-14,2.4475,147.4,52.175,115507.5
2001-03-15,2.3775,147.4,52.55,117757.5
2001-03-16,2.3375,146.2,52.55,118477.5
2001-03-19,2.355,146.6,52.25,117215.0
2001-03-20,2.38,148.4,50.975,112580.0
2001-03-21,2.3625,146.7,51.4,114372.5
2001-03-22,2.315,144.3,52.05,117405.0
2001-03-23,2.335,144.3,53.225,120865.0
2001-03-26,2.36,146.6,52.85,119060.0
2001-03-27,2.3725,146.6,53.025,119432.5
2001-03-28,2.355,145.1,52.475,118085.0
2001-03-29,2.3325,143.1,52.825,119742.5
2001-03-30,2.3,139.1,52.7,120230.0
2001-04-02,2.3475,142.0,54.7,125627.5
2001-04-03,2.3575,143.6,54.0,123077.5
2001-04-04,2.3825,146.0,54.15,122942.5
2001-04-05,2.39,145.7,53.95,122220.0
2001-04-06,2.3725,145.3,53.5,121082.5
2001-04-09,2.3725,146.3,53.5,120982.5
2001-04-10,2.3575,144.8,53.175,120317.5
2001-04-12,2.3825,146.3,53.2,119872.5
2001-04-16,2.39,144.8,53.6,121190.0
2001-04-17,2.3575,143.4,54.0,123097.5
2001-04-18,2.35,144.2,53.45,121370.0
2001-04-19,2.2975,142.1,53.3,121887.5
2001-04-20,2.2775,142.8,53.4,122437.5
2001-04-24,2.205,142.1,52.9,121995.0
2001-04-25,2.2175,140.3,52.075,119347.5
2001-04-26,2.265,145.0,52.1,118245.0
2001-04-27,2.23,144.0,51.65,117430.0
2001-04-30,2.265,146.9,51.075,114775.0
2001-05-01,2.2675,147.4,51.7,116687.5
2001-05-02,2.2775,148.4,51.225,114917.5
2001-05-03,2.27,147.5,51.6,116320.0
2001-05-04,2.2925,150.3,52.0,116982.5
2001-05-07,2.27,147.7,51.875,117180.0
2001-05-08,2.24,147.3,51.625,116870.0
2001-05-09,2.24,147.6,50.9,114520.0
2001-05-10,2.1725,145.3,50.625,114882.5
2001-05-11,2.16,146.1,50.075,113230.0
2001-05-14,2.21,150.1,50.025,111920.0
2001-05-15,2.205,149.2,50.25,112805.0
2001-05-16,2.2025,151.3,50.7,114072.5
2001-05-17,2.2025,152.5,51.275,115792.5
2001-05-18,2.1875,151.9,50.775,114477.5
2001-05-21,2.125,150.4,50.3,114045.0
2001-05-22,2.1,150.4,49.95,113300.0
2001-05-23,2.1125,150.0,49.725,112432.5
2001-05-24,2.1275,150.7,49.875,112617.5
2001-05-25,2.13,151.3,48.725,108840.0
2001-05-29,2.08,147.3,50.725,116390.0
2001-05-30,2.08,147.4,51.575,119100.0
2001-06-01,2.1775,151.1,52.375,119827.5
2001-06-04,2.15,151.9,52.075,119200.0
2001-06-05,2.1425,152.2,51.575,117682.5
2001-06-06,2.1725,154.1,51.425,116562.5
2001-06-07,2.17,153.8,51.6,117190.0
2001-06-08,2.155,155.7,52.675,120665.0
2001-06-11,2.1725,156.8,53.375,122532.5
2001-06-12,2.1575,158.6,53.525,123057.5
2001-06-13,2.1525,157.7,53.6,123462.5
2001-06-14,2.135,156.9,52.925,121645.0
2001-06-15,2.0925,154.1,53.45,124242.5
2001-06-18,2.09,154.8,52.6,121490.0
2001-06-19,2.1125,155.5,52.825,121802.5
2001-06-20,2.0875,153.7,52.8,122277.5
2001-06-21,2.0625,152.7,53.15,123872.5
2001-06-22,2.055,150.9,53.425,125045.0
2001-06-25,2.03,150.1,54.25,128140.0
2001-06-26,2.0375,151.7,53.975,126987.5
2001-06-27,2.065,154.2,54.0,126405.0
2001-06-28,2.0825,154.0,54.35,127282.5
2001-06-29,2.0825,162.3,54.85,128052.5
2001-07-03,2.1375,165.8,56.7,132797.5
2001-07-05,2.1725,166.6,56.875,132752.5
2001-07-06,2.185,163.9,56.875,132835.0
2001-07-09,2.2325,168.1,55.775,128182.5
2001-07-10,2.285,170.1,54.275,122395.0
2001-07-11,2.365,171.1,54.275,121095.0
2001-07-12,2.46,174.6,54.375,119640.0
2001-07-13,2.365,172.7,55.0,123255.0
2001-07-16,2.285,167.4,55.225,125705.0
2001-07-17,2.365,169.9,55.4,124815.0
2001-07-18,2.285,167.0,55.25,125825.0
2001-07-19,2.2825,166.4,55.725,127442.5
2001-07-20,2.205,162.0,55.7,128965.0
2001-07-23,2.2075,164.3,54.375,124457.5
2001-07-24,2.265,165.2,54.275,123185.0
2001-07-25,2.3125,168.7,54.425,122602.5
2001-07-26,2.295,168.1,54.825,124205.0
2001-07-27,2.3175,169.8,55.05,124417.5
2001-07-30,2.28,165.2,54.975,125200.0
2001-07-31,2.3025,166.4,55.625,126822.5
2001-08-01,2.2675,165.5,55.9,128317.5
2001-08-02,2.25,162.9,55.0,125960.0
2001-08-03,2.265,164.0,55.375,126825.0
2001-08-06,2.2425,162.6,54.825,125542.5
2001-08-07,2.2775,162.7,54.825,125007.5
2001-08-08,2.295,162.5,55.225,126045.0
2001-08-09,2.315,166.2,55.075,124895.0
2001-08-10,2.3425,167.3,56.55,129092.5
2001-08-13,2.37,169.7,56.875,129480.0
2001-08-15,2.3175,169.5,56.5,129087.5
2001-08-16,2.295,166.1,56.325,129205.0
2001-08-17,2.2825,166.4,56.375,129522.5
2001-08-20,2.25,163.4,56.05,129270.0
2001-08-21,2.2775,165.1,54.05,122287.5
2001-08-22,2.28,164.4,54.55,123920.0
2001-08-23,2.3175,162.9,54.85,124467.5
2001-08-24,2.2825,161.3,55.325,126672.5
2001-08-27,2.31,161.1,53.45,120280.0
2001-08-28,2.29,160.8,53.175,119730.0
2001-08-29,2.3125,164.0,54.025,121792.5
2001-08-30,2.3,163.8,53.175,119280.0
2001-08-31,2.3225,168.6,54.325,122142.5
2001-09-04,2.3025,167.6,56.1,128222.5
2001-09-05,2.2975,165.4,56.375,129397.5
2001-09-06,2.2625,163.8,56.375,130082.5
2001-09-13,2.295,170.0,56.275,128655.0
2001-09-14,2.2425,167.2,56.675,131002.5
2001-09-17,2.2175,169.1,56.65,131107.5
2001-09-18,2.185,166.5,56.775,132255.0
2001-09-19,2.16,164.2,54.85,126700.0
2001-09-20,2.1875,166.1,54.9,126257.5
2001-09-21,2.1725,164.2,55.275,127872.5
2001-09-24,2.1575,162.3,54.925,127167.5
2001-09-25,2.155,160.4,53.875,124035.0
2001-09-26,2.1675,161.6,53.775,123407.5
2001-09-27,2.16,160.7,53.625,123130.0
2001-09-28,2.145,159.4,54.825,127325.0
2001-10-02,2.0925,161.6,57.275,135732.5
2001-10-03,2.1075,162.2,56.125,131767.5
2001-10-04,2.115,162.2,56.275,132135.0
2001-10-05,2.1425,163.8,55.275,128362.5
2001-10-08,2.155,166.7,54.875,126605.0
2001-10-09,2.13,164.2,53.6,123150.0
2001-10-11,2.1325,164.1,51.925,117762.5
2001-10-12,2.085,160.8,51.25,116645.0
2001-10-15,2.06,157.0,49.25,111000.0
2001-10-16,2.0675,157.8,50.225,113927.5
2001-10-17,2.0775,158.4,50.375,114197.5
2001-10-18,2.0525,157.9,50.475,114942.5
2001-10-19,2.055,156.3,50.05,113705.0
2001-10-22,2.0425,156.2,49.625,112542.5
2001-10-23,2.0425,156.3,49.325,111572.5
2001-10-24,2.065,158.2,47.7,105845.0
2001-10-25,2.065,161.3,47.575,105135.0
2001-10-26,2.055,161.8,47.85,106115.0
2001-10-30,2.06,162.2,49.65,111760.0
2001-10-31,2.055,160.8,51.65,118375.0
2001-11-01,2.04,164.6,52.1,119660.0
2001-11-02,2.0225,164.4,52.875,122422.5
2001-11-05,2.0275,163.0,52.825,122327.5
2001-11-06,2.025,162.1,51.025,116695.0
2001-11-07,2.025,161.9,50.8,115995.0
2001-11-08,2.0275,158.9,51.325,117937.5
2001-11-09,2.06,159.3,49.325,111010.0
2001-11-12,2.055,159.8,47.875,106395.0
2001-11-13,2.05,161.8,48.4,107950.0
2001-11-14,2.065,164.1,48.675,108375.0
2001-11-15,2.06,165.6,49.475,110860.0
2001-11-16,2.0725,165.6,48.05,106112.5
2001-11-19,2.0925,163.2,49.2,109732.5
2001-11-20,2.0875,162.3,49.15,109737.5
2001-11-21,2.0875,163.3,49.575,110997.5
2001-11-23,2.0825,162.4,50.625,114522.5
2001-11-26,2.0375,158.2,50.45,115057.5
2001-11-27,2.035,159.2,50.1,113875.0
2001-11-28,1.9875,156.2,50.375,115767.5
2001-11-29,1.9975,156.2,49.525,112897.5
2001-11-30,2.085,157.1,50.325,114055.0
2001-12-03,2.4475,151.9,49.125,105297.5
2001-12-04,2.4425,150.3,48.3,102892.5
2001-12-05,2.4325,149.8,47.025,99012.5
2001-12-06,2.415,149.5,47.775,101705.0
2001-12-07,2.425,150.3,48.025,102275.0
2001-12-10,2.4275,150.3,46.125,96157.5
2001-12-11,2.4275,149.5,45.15,93117.5
2001-12-12,2.3975,148.7,45.125,93567.5
2001-12-13,2.3975,150.0,45.7,95277.5
2001-12-17,2.375,150.4,50.75,111735.0
2001-12-18,2.375,149.2,50.725,111775.0
2001-12-19,2.375,148.7,50.575,111345.0
2001-12-20,2.3675,148.3,50.6,111577.5
2001-12-26,2.335,146.0,50.575,112215.0
2001-12-27,2.34,147.5,50.525,111830.0
2001-12-28,2.345,146.5,50.5,111775.0
2001-12-31,2.3475,144.9,50.5,111897.5
2002-01-02,2.3375,143.8,50.525,112237.5
2002-01-03,2.3425,144.6,50.5,112002.5
2002-01-04,2.345,143.5,50.55,112235.0
2002-01-10,2.37,145.7,50.65,111960.0
