Date,corn,soybean_meal,hog,crush,corn + soybean_meal
2000-12-29,39262.5,17630.0,152000.0,95107.5,56892.5
2001-01-02,38737.5,17640.0,152960.0,96582.5,56377.5
2001-01-03,39150.0,17520.0,150880.0,94210.0,56670.0
2001-01-04,39150.0,17380.0,153600.0,97070.0,56530.0
2001-01-05,38700.0,17170.0,153600.0,97730.0,55870.0
2001-01-08,38700.0,17230.0,154560.0,98630.0,55930.0
2001-01-09,38887.49999999999,17420.0,154480.0,98172.5,56307.49999999999
2001-01-10,39225.00000000001,17290.0,152960.0,96445.0,56515.00000000001
2001-01-11,38437.5,17000.0,153200.0,97762.5,55437.5
2001-01-12,38137.5,16990.0,153120.0,97992.5,55127.5
2001-01-16,37725.0,16630.0,153280.0,98925.0,54355.0
2001-01-17,37687.5,16590.0,156000.0,101722.5,54277.5
2001-01-18,37949.99999999999,16650.0,154880.0,100280.0,54599.99999999999
2001-01-19,38062.5,16450.0,155520.0,101007.5,54512.5
2001-01-22,37350.00000000001,16580.0,156160.0,102230.0,53930.00000000001
2001-01-23,37649.99999999999,16350.0,154880.0,100880.0,53999.99999999999
2001-01-24,37425.0,16380.000000000002,155040.0,101235.0,53805.0
2001-01-25,37500.0,16280.000000000002,156640.0,102860.0,53780.0
2001-01-26,37200.0,16000.0,159200.0,106000.0,53200.0
2001-01-29,36750.0,15900.0,159840.0,107190.0,52650.0
2001-01-30,36787.5,15990.0,159920.0,107142.5,52777.5
2001-01-31,36900.0,16110.0,161360.0,108350.0,53010.0
2001-02-01,36637.5,16090.0,163120.0,110392.5,52727.5
2001-02-02,37050.00000000001,16269.999999999998,163040.0,109720.0,53320.00000000001
2001-02-05,37350.00000000001,16030.000000000002,162880.0,109500.0,53380.00000000001
2001-02-06,37087.5,16140.0,162880.0,109652.5,53227.5
2001-02-07,37350.00000000001,16080.000000000002,162400.0,108970.0,53430.00000000001
2001-02-08,36975.0,15800.0,162720.0,109945.0,52775.0
2001-02-09,36750.0,15750.0,162400.0,109900.0,52500.0
2001-02-12,36675.0,15690.0,161840.0,109475.0,52365.0
2001-02-13,36637.5,15660.0,161760.0,109462.5,52297.5
2001-02-14,36750.0,15700.0,162560.0,110110.0,52450.0
2001-02-15,37162.5,15650.0,162080.0,109267.5,52812.5
2001-02-16,36975.0,15580.000000000002,162800.0,110245.0,52555.0
2001-02-20,37087.5,15760.0,161600.0,108752.5,52847.5
2001-02-21,36787.5,15680.000000000002,162000.0,109532.5,52467.5
2001-02-22,36712.49999999999,15590.0,162720.0,110417.5,52302.49999999999
2001-02-23,36600.0,15369.999999999998,161200.0,109230.0,51970.0
2001-02-26,36562.5,15269.999999999998,160000.0,108167.5,51832.5
2001-02-27,36825.0,15280.000000000002,160000.0,107895.0,52105.0
2001-02-28,37387.5,15250.0,160160.0,107522.5,52637.5
2001-03-01,37649.99999999999,15400.0,161360.0,108310.0,53049.99999999999
2001-03-02,37462.5,15330.000000000002,161760.0,108967.5,52792.5
2001-03-05,37425.0,15419.999999999998,163760.0,110915.0,52845.0
2001-03-06,37500.0,15719.999999999998,163440.0,110220.0,53220.0
2001-03-07,37087.5,15630.000000000002,161840.0,109122.5,52717.5
2001-03-08,37125.0,15369.999999999998,160960.0,108465.0,52495.0
2001-03-09,37050.00000000001,15480.000000000002,160800.0,108270.0,52530.00000000001
2001-03-12,37200.0,15419.999999999998,160640.0,108020.0,52620.0
2001-03-13,37087.5,15210.0,162880.0,110582.5,52297.5
2001-03-14,36712.49999999999,14740.0,166960.0,115507.5,51452.49999999999
2001-03-15,35662.5,14740.0,168160.0,117757.5,50402.5
2001-03-16,35062.5,14619.999999999998,168160.0,118477.5,49682.5
2001-03-19,35325.0,14660.0,167200.0,117215.0,49985.0
2001-03-20,35700.0,14840.0,163120.0,112580.0,50540.0
2001-03-21,35437.5,14669.999999999998,164480.0,114372.5,50107.5
2001-03-22,34725.0,14430.000000000002,166560.0,117405.0,49155.0
2001-03-23,35025.0,14430.000000000002,170320.0,120865.0,49455.0
2001-03-26,35400.0,14660.0,169120.0,119060.0,50060.0
2001-03-27,35587.5,14660.0,169680.0,119432.5,50247.5
2001-03-28,35325.0,14510.0,167920.0,118085.0,49835.0
2001-03-29,34987.5,14310.0,169040.0,119742.5,49297.5
2001-03-30,34500.0,13910.0,168640.0,120230.0,48410.0
2001-04-02,35212.5,14200.0,175040.0,125627.5,49412.5
2001-04-03,35362.5,14360.0,172800.0,123077.5,49722.5
2001-04-04,35737.5,14600.0,173280.0,122942.5,50337.5
2001-04-05,35850.0,14569.999999999998,172640.0,122220.0,50420.0
2001-04-06,35587.5,14530.000000000002,171200.0,121082.5,50117.5
2001-04-09,35587.5,14630.000000000002,171200.0,120982.5,50217.5
2001-04-10,35362.5,14480.000000000002,170160.0,120317.5,49842.5
2001-04-12,35737.5,14630.000000000002,170240.0,119872.5,50367.5
2001-04-16,35850.0,14480.000000000002,171520.0,121190.0,50330.0
2001-04-17,35362.5,14340.0,172800.0,123097.5,49702.5
2001-04-18,35250.0,14419.999999999998,171040.0,121370.0,49670.0
2001-04-19,34462.5,14210.0,170560.0,121887.5,48672.5
2001-04-20,34162.5,14280.000000000002,170880.0,122437.5,48442.5
2001-04-24,33075.0,14210.0,169280.0,121995.0,47285.0
2001-04-25,33262.49999999999,14030.000000000002,166640.0,119347.5,47292.49999999999
2001-04-26,33975.0,14500.0,166720.0,118245.0,48475.0
2001-04-27,33450.0,14400.0,165280.0,117430.0,47850.0
2001-04-30,33975.0,14690.0,163440.0,114775.0,48665.0
2001-05-01,34012.5,14740.0,165440.0,116687.5,48752.5
2001-05-02,34162.5,14840.0,163920.0,114917.5,49002.5
2001-05-03,34050.0,14750.0,165120.0,116320.0,48800.0
2001-05-04,34387.5,15030.000000000002,166400.0,116982.5,49417.5
2001-05-07,34050.0,14769.999999999998,166000.0,117180.0,48820.0
2001-05-08,33600.00000000001,14730.000000000002,165200.0,116870.0,48330.00000000001
2001-05-09,33600.00000000001,14760.0,162880.0,114520.0,48360.00000000001
2001-05-10,32587.5,14530.000000000002,162000.0,114882.5,47117.5
2001-05-11,32400.0,14610.0,160240.0,113230.0,47010.0
2001-05-14,33150.0,15010.0,160080.0,111920.0,48160.0
2001-05-15,33075.0,14919.999999999998,160800.0,112805.0,47995.0
